食物编码,分类编码,食物名称,食物类别,大类名称,子类编码,子类名称,是否常用,是否特色,可食部分(%),水分(g),能量(kcal),能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),总胡萝卜素(μg),视黄醇(μg),硫胺素(mg),核黄素(mg),烟酸(mg),维生素C(mg),维生素E(mg),α-生育酚(mg),β+γ生育酚(mg),δ-生育酚(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(μg),铜(mg),锰(mg)
03-9-203,39203,豇豆(紫),3,干豆类及制品,9,其它,,,100,11.2,315,1318,18.9,0.4,65.8,6.9,—,3.7,3,20,—,0.22,0.09,2.4,—,11.42,0.88,3.73,6.81,67,345,500,4.0,41,7.9,1.61,1.52,1.42,0.98
03-9-301,39301,豌豆,3,干豆类及制品,9,其它,A,F,100,10.4,313,1310,20.3,1.1,65.8,10.4,—,2.4,42,250,—,0.49,0.14,2.4,—,8.47,…,8.28,0.19,97,259,823,9.7,118,4.9,2.35,1.69,0.47,1.15
03-9-302,39302,豌豆(花),3,干豆类及制品,9,其它,,F,100,11.5,322,1347,21.6,1.0,63.6,6.9,—,2.3,40,240,—,0.68,0.22,2.4,—,9.63,0.11,9.27,0.25,106,218,736,3.2,112,4.4,2.47,9.72,0.54,1.17
04-1-101,41101,白萝卜[莱菔],4,蔬菜类及其制品,1,根菜类,A,,95,93.4,21,88,0.9,0.1,5.0,1.0,—,0.6,3,20,—,0.02,0.03,0.3,21,0.92,0.92,…,…,36,26,173,61.8,16,0.5,0.30,0.61,0.04,0.09
04-1-102,41102,变萝卜[红皮萝卜],4,蔬菜类及其制品,1,根菜类,A,,94,91.6,27,113,1.2,0.1,6.4,1.2,—,0.7,3,20,—,0.03,0.04,0.6,24,1.80,1.80,…,…,45,33,167,68.0,22,0.6,0.29,1.07,0.04,0.10
04-1-105,41105,红心萝卜,4,蔬菜类及其制品,1,根菜类,,,94,88.0,38,159,1.2,Tr,9.8,1.4,—,1.0,13,80,—,0.02,0.02,0.1,20,—,—,—,—,86,30,385,49.1,23,0.9,0.74,0.73,0.05,0.08
04-1-107,41107,青萝卜,4,蔬菜类及其制品,1,根菜类,,,95,91.0,31,130,1.3,0.2,6.8,0.8,—,0.7,10,60,—,0.04,0.06,—,14,0.22,…,…,0.22,40,34,232,69.9,12,0.8,0.34,0.59,0.02,0.12
04-1-108,41108,水萝卜[脆萝卜],4,蔬菜类及其制品,1,根菜类,,,93,92.9,20,84,0.8,…,5.5,1.4,—,0.8,42,250,—,0.03,0.05,—,45,—,—,—,—,—,—,—,9.7,—,—,0.49,—,0.01,0.05
04-1-109,41109,小水萝卜[算盘子，红皮萝卜],4,蔬菜类及其制品,1,根菜类,,,66,93.9,19,79,1.1,0.2,4.2,1.0,—,0.6,3,20,—,0.02,0.04,0.4,22,0.78,0.55,0.23,…,32,21,286,33.5,17,0.4,0.21,0.65,0.03,0.09
04-1-201,41201,胡萝卜(红)[金笋，丁香萝卜],4,蔬菜类及其制品,1,根菜类,A,,96,89.2,37,155,1.0,0.2,8.8,1.1,—,0.8,688,4130,—,0.04,0.03,0.6,13,0.41,0.36,0.05,…,32,27,190,71.4,14,1.0,0.23,0.63,0.08,0.24
04-1-202,41202,胡萝卜(黄),4,蔬菜类及其制品,1,根菜类,,,97,87.4,43,180,1.4,0.2,10.2,1.3,—,0.8,668,4010,—,0.04,0.04,0.2,16,—,—,—,—,32,16,193,25.1,7,0.5,0.14,2.80,0.03,0.07
04-1-301,41301,芥菜头[大头菜，水芥],4,蔬菜类及其制品,1,根菜类,,,83,89.6,33,138,1.9,0.2,7.4,1.4,—,0.9,—,—,—,0.06,0.02,0.6,34,0.20,0.20,…,…,65,36,243,65.6,19,0.8,0.39,0.95,0.09,0.15
04-1-302,41302,苤蓝[玉蔓菁，球茎甘蓝],4,蔬菜类及其制品,1,根菜类,,,78,90.8,30,126,1.3,0.2,7.0,1.3,—,0.7,3,20,—,0.04,0.02,0.5,41,0.13,0.10,0.03,…,25,46,190,29.8,24,0.3,0.17,0.16,0.02,0.11
04-1-401,41401,甜菜根[甜菜头，糖萝卜],4,蔬菜类及其制品,1,根菜类,,,90,74.8,75,314,1.0,0.1,23.5,5.9,—,0.6,—,—,—,0.05,0.04,0.2,8,1.85,1.85,…,…,56,18,254,20.8,38,0.9,0.31,0.29,0.15,0.86
04-2-101,42101,扁豆[月亮菜],4,蔬菜类及其制品,2,鲜豆类,A,,91,88.3,37,155,2.7,0.2,8.2,2.1,—,0.6,25,150,—,0.04,0.07,0.9,13,0.24,…,0.24,…,38,54,178,3.8,34,1.9,0.72,0.94,0.12,0.34
04-2-102,42102,蚕豆,4,蔬菜类及其制品,2,鲜豆类,,,31,70.2,104,435,8.8,0.4,19.5,3.1,—,1.1,52,310,—,0.37,0.10,1.5,16,0.83,0.03,0.75,0.05,16,200,391,4.0,46,3.5,1.37,2.02,0.39,0.55
04-2-103,42103,刀豆,4,蔬菜类及其制品,2,鲜豆类,,,92,89.0,36,151,3.1,0.3,7.0,1.8,—,0.6,37,220,—,0.05,0.07,1.0,15,0.40,0.12,0.08,0.20,49,57,209,8.5,29,4.6,0.84,0.88,0.09,0.45
04-2-104,42104,豆角,4,蔬菜类及其制品,2,鲜豆类,,,96,90.0,30,126,2.5,0.2,6.7,2.1,—,0.6,33,200,—,0.05,0.07,0.9,18,2.24,0.23,1.74,0.27,29,55,207,3.4,35,1.5,0.54,2.16,0.15,0.41
04-2-105,42105,豆角(白),4,蔬菜类及其制品,2,鲜豆类,,,97,89.7,30,126,2.2,0.2,7.4,2.6,—,0.5,97,580,—,0.06,0.04,0.9,39,2.38,0.23,1.06,1.09,26,40,192,9.5,28,0.8,0.60,1.60,0.10,0.78
04-2-106,42106,荷兰豆,4,蔬菜类及其制品,2,鲜豆类,A,,88,91.9,27,113,2.5,0.3,4.9,1.4,—,0.4,80,480,—,0.09,0.04,0.7,16,0.30,0.21,0.09,…,51,19,116,8.8,16,0.9,0.50,0.42,0.06,0.48
04-2-107,42107,龙豆,4,蔬菜类及其制品,2,鲜豆类,,,98,90.0,32,134,3.7,0.5,5.0,1.9,—,0.8,87,520,—,0.04,0.06,1.0,11,0.77,—,—,—,147,54,142,4.1,46,1.3,0.46,4.06,0.35,0.19
04-2-109,42109,毛豆[青豆，菜用大豆],4,蔬菜类及其制品,2,鲜豆类,A,,53,69.6,123,515,13.1,5.0,10.5,4.0,—,1.8,22,130,—,0.15,0.07,1.4,27,2.44,…,1.09,1.35,135,188,478,3.9,70,3.5,1.73,2.48,0.54,1.20
04-2-110,42110,四季豆[菜豆],4,蔬菜类及其制品,2,鲜豆类,,,96,91.3,28,117,2.0,0.4,5.7,1.5,—,0.6,35,210,—,0.04,0.07,0.4,6,1.24,0.42,0.64,0.18,42,51,123,8.6,27,1.5,0.23,0.43,0.11,0.18
04-2-112,42112,豌豆尖,4,蔬菜类及其制品,2,鲜豆类,,,100,42.1,223,933,3.1,Tr,53.9,1.3,—,0.9,452,2710,—,0.07,0.23,Tr,11,0.22,0.10,0.12,…,17,65,160,3.2,24,5.1,0.93,1.94,0.06,0.98
04-2-113,42113,油豆角[多花菜豆],4,蔬菜类及其制品,2,鲜豆类,A,,99,92.2,22,92,2.4,0.3,3.9,1.6,—,1.2,27,160,—,0.07,0.08,1.4,11,2.39,—,—,—,69,56,240,3.3,35,1.9,0.38,1.10,0.61,0.12
04-2-115,42115,芸豆,4,蔬菜类及其制品,2,鲜豆类,,,96,91.1,25,105,0.8,0.1,7.4,2.1,—,0.6,40,240,—,0.33,0.06,0.8,9,0.07,…,…,0.07,88,37,112,4.0,16,1.0,1.04,0.23,0.24,0.44
04-2-116,42116,豇豆,4,蔬菜类及其制品,2,鲜豆类,A,,97,90.3,29,121,2.9,0.3,5.9,2.3,—,0.6,42,250,—,0.07,0.09,1.4,19,4.39,1.28,2.59,0.52,27,63,112,2.2,31,0.5,0.54,0.74,0.14,0.37
04-2-117,42117,豇豆(长),4,蔬菜类及其制品,2,鲜豆类,,,98,90.8,29,121,2.7,0.2,5.8,1.8,—,0.5,20,120,—,0.07,0.07,0.8,18,0.65,…,0.13,0.52,42,50,145,4.6,43,1.0,0.94,1.40,0.11,0.39
04-2-201,42201,发芽豆,4,蔬菜类及其制品,2,鲜豆类,A,,83,66.1,128,536,12.4,0.7,19.4,1.3,—,1.4,—,—,—,0.30,0.17,2.3,4,2.80,1.43,1.31,0.06,41,134,179,3.9,1,5.0,0.72,0.73,0.32,0.37
04-2-202,42202,黄豆芽,4,蔬菜类及其制品,2,鲜豆类,A,F,100,88.8,44,184,4.5,1.6,4.5,1.5,—,0.6,5,30,—,0.04,0.07,0.6,8,0.80,…,0.40,0.40,21,74,160,7.2,21,0.9,0.54,0.96,0.14,0.34
04-2-203,42203,绿豆芽,4,蔬菜类及其制品,2,鲜豆类,A,F,100,94.6,18,75,2.1,0.1,2.9,0.8,—,0.3,3,20,—,0.05,0.06,0.5,6,0.19,…,0.17,0.02,9,37,68,4.4,18,0.6,0.35,0.50,0.10,0.10
04-2-204,42204,豌豆苗,4,蔬菜类及其制品,2,鲜豆类,A,,86,89.6,34,142,4.0,0.8,4.6,1.9,—,1.0,445,2667,—,0.05,0.11,1.1,67,2.46,0.54,0.03,1.89,40,67,222,18.5,21,4.2,0.77,1.09,0.20,0.76
04-3-102,43102,茄子(绿皮),4,蔬菜类及其制品,3,茄果、瓜菜类,A,,90,92.8,25,105,1.0,0.6,5.2,1.2,—,0.4,20,120,—,0.02,0.20,0.6,7,0.55,0.23,0.12,0.20,12,26,162,6.8,13,0.1,0.24,0.64,0.05,0.07
04-3-103,43103,茄子(圆),4,蔬菜类及其制品,3,茄果、瓜菜类,,,95,91.2,28,117,1.6,0.2,6.7,1.7,—,0.3,Tr,Tr,—,0.03,0.03,Tr,1,0.88,0.80,0.05,0.03,5,19,112,3.2,17,1.8,0.29,0.48,0.11,0.10
04-3-104,43104,茄子(紫皮，长),4,蔬菜类及其制品,3,茄果、瓜菜类,A,,96,93.1,19,79,1.0,0.1,5.4,1.9,—,0.4,30,180,—,0.03,0.03,0.6,7,0.20,0.14,0.01,0.05,55,28,136,6.4,15,0.4,0.16,0.57,0.07,0.14
04-3-105,43105,番茄[西红柿],4,蔬菜类及其制品,3,茄果、瓜菜类,A,,97,94.4,19,79,0.9,0.2,4.0,0.5,—,0.5,92,550,—,0.03,0.03,0.6,19,0.57,0.18,0.13,0.26,10,23,163,5.0,9,0.4,0.13,0.15,0.06,0.08
04-3-108,43108,辣椒(红，尖，干),4,蔬菜类及其制品,3,茄果、瓜菜类,,,88,14.6,212,887,15.0,12.0,52.7,41.7,—,5.7,—,—,—,0.53,0.16,1.2,—,8.76,6.45,1.20,1.11,12,298,1085,4.0,131,6.0,8.21,—,0.61,11.70
04-3-111,43111,甜椒[灯笼椒，柿子椒],4,蔬菜类及其制品,3,茄果、瓜菜类,A,,82,93.0,22,92,1.0,0.2,5.4,1.4,—,0.4,57,340,—,0.03,0.03,0.9,72,0.59,0.49,0.05,0.05,14,20,142,3.3,12,0.8,0.19,0.38,0.09,0.12
04-3-114,43114,秋葵[黄秋葵，羊角豆],4,蔬菜类及其制品,3,茄果、瓜菜类,,,88,86.2,37,155,2.0,0.1,11.0,3.9,—,0.7,52,310,—,0.05,0.09,1.0,4,1.03,0.92,0.11,…,45,65,95,3.9,29,0.1,0.23,0.51,0.07,0.28
04-3-201,43201,白瓜,4,蔬菜类及其制品,3,茄果、瓜菜类,,,83,96.2,10,42,0.9,—,2.6,0.9,—,0.3,—,—,—,0.02,0.04,0.1,16,0.20,0.04,0.16,…,6,11,70,1.0,8,0.1,0.04,1.10,0.01,0.11
04-3-202,43202,菜瓜[生瓜，白瓜],4,蔬菜类及其制品,3,茄果、瓜菜类,A,,88,95.0,18,75,0.6,0.2,3.9,0.4,—,0.3,3,20,—,0.02,0.01,0.2,12,0.03,…,0.03,…,20,14,136,1.6,15,0.5,0.10,0.63,0.03,0.03
04-3-203,43203,冬瓜,4,蔬菜类及其制品,3,茄果、瓜菜类,A,,80,96.6,11,46,0.4,0.2,2.6,0.7,—,0.2,13,80,—,0.01,0.01,0.3,18,0.08,0.03,0.01,0.04,19,12,78,1.8,8,0.2,0.07,0.22,0.07,0.03
04-3-205,43205,佛手瓜[棒瓜，菜肴梨],4,蔬菜类及其制品,3,茄果、瓜菜类,,,100,94.3,16,67,1.2,0.1,3.8,1.2,—,0.6,3,20,—,0.01,0.10,0.1,8,—,—,—,—,17,18,76,1.0,10,0.1,0.08,1.45,0.02,0.03
04-3-208,43208,黄瓜[胡瓜],4,蔬菜类及其制品,3,茄果、瓜菜类,A,,92,95.8,15,63,0.8,0.2,2.9,0.5,—,0.3,15,90,—,0.02,0.03,0.2,9,0.49,0.08,0.24,0.17,24,24,102,4.9,15,0.5,0.18,0.38,0.05,0.06
04-3-209,43209,节瓜[毛瓜],4,蔬菜类及其制品,3,茄果、瓜菜类,,,92,95.6,12,50,0.6,0.1,3.4,1.2,—,0.3,—,—,—,0.02,0.05,0.4,39,0.27,0.16,0.11,…,4,13,40,0.2,7,0.1,0.08,0.26,0.02,0.10
04-3-210,43210,金瓜,4,蔬菜类及其制品,3,茄果、瓜菜类,,,82,95.6,14,59,0.5,0.1,3.4,0.7,—,0.4,10,60,—,0.02,0.02,0.6,2,0.43,0.43,…,…,17,10,152,0.9,8,0.9,0.17,0.28,0.04,Tr
04-3-212,43212,苦瓜[凉瓜，癞瓜],4,蔬菜类及其制品,3,茄果、瓜菜类,A,,81,93.4,19,79,1.0,0.1,4.9,1.4,—,0.6,17,100,—,0.03,0.03,0.4,56,0.85,0.61,0.24,…,14,35,256,2.5,18,0.7,0.36,0.36,0.06,0.16
04-3-213,43213,南瓜[倭瓜，番瓜],4,蔬菜类及其制品,3,茄果、瓜菜类,A,,85,93.5,22,92,0.7,0.1,5.3,0.8,—,0.4,148,890,—,0.03,0.04,0.4,8,0.36,0.29,0.07,…,16,24,145,0.8,8,0.4,0.14,0.46,0.03,0.08
04-3-216,43216,丝瓜,4,蔬菜类及其制品,3,茄果、瓜菜类,A,,83,94.3,20,84,1.0,0.2,4.2,0.6,—,0.3,15,90,—,0.02,0.04,0.4,5,0.22,0.06,0.05,0.11,14,29,115,2.6,11,0.4,0.21,0.86,0.06,0.06
04-4-101,44101,大蒜[蒜头],4,蔬菜类及其制品,4,葱蒜类,A,,85,66.6,126,527,4.5,0.2,27.6,1.1,—,1.1,5,30,—,0.04,0.06,0.6,7,1.07,1.07,…,…,39,117,302,19.6,21,1.2,0.88,3.09,0.22,0.29
04-4-104,44104,青蒜,4,蔬菜类及其制品,4,葱蒜类,A,,84,90.4,30,126,2.4,0.3,6.2,1.7,—,0.7,98,590,—,0.06,0.04,0.6,16,0.80,0.78,0.02,…,24,25,168,9.3,17,0.8,0.23,1.27,0.05,0.15
04-4-105,44105,蒜黄,4,蔬菜类及其制品,4,葱蒜类,,,97,93.0,21,88,2.5,0.2,3.8,1.4,—,0.5,47,280,—,0.05,0.07,0.6,18,0.52,0.41,0.10,0.01,24,58,168,7.8,16,1.3,0.33,0.79,0.09,0.25
04-4-106,44106,蒜苗,4,蔬菜类及其制品,4,葱蒜类,A,,82,88.9,37,155,2.1,0.4,8.0,1.8,—,0.6,47,280,—,0.11,0.08,0.5,35,0.81,0.41,0.28,0.12,29,44,226,5.1,18,1.4,0.46,1.24,0.05,0.17
04-4-107,44107,蒜苔,4,蔬菜类及其制品,4,葱蒜类,,,90,81.8,61,255,2.0,0.1,15.4,2.5,—,0.7,80,480,—,0.04,0.07,0.2,1,1.04,0.70,0.20,0.14,19,52,161,3.8,28,4.2,1.04,2.17,0.03,0.32
04-4-201,44201,大葱,4,蔬菜类及其制品,4,葱蒜类,A,,82,91.0,30,126,1.7,0.3,6.5,1.3,—,0.5,10,60,—,0.03,0.05,0.5,17,0.30,0.27,…,0.03,29,38,144,4.8,19,0.7,0.40,0.67,0.08,0.28
04-4-205,44205,小葱,4,蔬菜类及其制品,4,葱蒜类,A,,73,92.7,24,100,1.6,0.4,4.9,1.4,—,0.4,140,840,—,0.05,0.06,0.4,21,0.49,0.24,0.05,0.20,72,26,143,10.4,18,1.3,0.35,1.06,0.06,0.16
04-4-301,44301,洋葱[葱头],4,蔬菜类及其制品,4,葱蒜类,A,,90,89.2,39,163,1.1,0.2,9.0,0.9,—,0.5,3,20,—,0.03,0.03,0.3,8,0.14,—,—,—,24,39,147,4.4,15,0.6,0.23,0.92,0.05,0.14
04-4-401,44401,韭菜,4,蔬菜类及其制品,4,葱蒜类,A,,90,91.8,26,109,2.4,0.4,4.6,1.4,—,0.8,235,1410,—,0.02,0.09,0.8,24,0.96,0.80,0.16,…,42,38,247,8.1,25,1.6,0.43,1.38,0.08,0.43
04-4-402,44402,韭黄[韭芽],4,蔬菜类及其制品,4,葱蒜类,,,88,93.2,22,92,2.3,0.2,3.9,1.2,—,0.4,43,260,—,0.03,0.05,0.7,15,0.34,0.34,…,…,25,48,192,6.9,12,1.7,0.33,0.76,0.10,0.17
04-4-403,44403,韭苔,4,蔬菜类及其制品,4,葱蒜类,,,85,89.4,33,138,2.2,0.1,7.8,1.9,—,0.5,80,480,—,0.04,0.07,0.2,1,0.96,0.70,0.20,0.06,11,29,121,1.0,22,4.2,1.34,2.28,0.05,0.18
04-5-102,45102,大白菜(白梗)[黄芽白],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,92,93.6,21,88,1.7,0.2,3.7,0.6,—,0.8,42,250,—,0.06,0.07,0.8,47,0.92,0.52,0.20,0.20,69,30,130,89.3,12,0.5,0.21,0.33,0.03,0.21
04-5-103,45103,大白菜(青白口),4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,83,95.1,15,63,1.4,0.1,3.0,0.9,—,0.4,13,80,—,0.03,0.04,0.4,28,0.36,0.36,…,…,35,28,90,48.4,9,0.6,0.61,0.39,0.04,0.16
04-5-104,45104,大白菜(小白口),4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,85,95.2,14,59,1.3,0.1,2.8,0.9,—,0.6,5,30,—,0.02,0.03,0.5,19,0.21,0.21,…,…,45,35,137,34.8,11,0.9,0.31,0.75,0.07,0.17
04-5-106,45106,酸白菜[酸菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,100,95.2,14,59,1.1,0.2,2.4,0.5,—,1.1,5,30,—,0.02,0.02,0.6,2,0.86,0.16,0.64,0.06,48,38,104,43.1,21,1.6,0.36,1.27,0.04,0.07
04-5-107,45107,小白菜,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,81,94.5,15,63,1.5,0.3,2.7,1.1,—,1.0,280,1680,—,0.02,0.09,0.7,28,0.70,0.33,0.08,0.29,90,36,178,73.5,18,1.9,0.51,1.17,0.08,0.27
04-5-110,45110,瓢儿白[瓢儿菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,79,94.1,15,63,1.7,0.2,3.2,1.6,—,0.8,200,1200,—,…,0.03,0.5,10,—,—,—,—,59,36,245,56.9,91,1.8,0.54,3.40,0.06,0.19
04-5-111,45111,乌菜[乌塌菜，塌棵菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,89,91.8,25,105,2.6,0.4,4.2,1.4,—,1.0,168,1010,—,0.06,0.11,1.1,45,1.16,…,0.16,1.00,186,53,154,115.5,24,3.0,0.70,0.50,0.13,0.36
04-5-112,45112,油菜,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,87,92.9,23,96,1.8,0.5,3.8,1.1,—,1.0,103,620,—,0.04,0.11,0.7,36,0.88,0.71,0.17,…,108,39,210,55.8,22,1.2,0.33,0.79,0.06,0.23
04-5-113,45113,油菜(黑),4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,96,94.1,17,71,1.8,0.2,2.9,0.9,—,1.0,243,1460,—,0.01,0.10,Tr,24,0.94,0.94,…,…,191,34,143,98.8,34,5.9,1.27,…,…,1.09
04-5-115,45115,油菜(小),4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,95,96.0,11,46,1.3,0.2,1.6,0.7,—,0.9,243,1460,—,0.01,0.08,…,7,0.76,0.60,0.13,0.03,153,41,157,53.0,27,3.9,0.87,…,…,0.13
04-5-201,45201,甘蓝[圆白菜，卷心菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,86,93.2,22,92,1.5,0.2,4.6,1.0,—,0.5,12,70,—,0.03,0.03,0.4,40,0.50,0.21,0.21,0.08,49,26,124,27.2,12,0.6,0.25,0.96,0.04,0.18
04-5-202,45202,菜花[花椰菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,82,92.4,24,100,2.1,0.2,4.6,1.2,—,0.7,5,30,—,0.03,0.08,0.6,61,0.43,0.19,0.19,0.05,23,47,200,31.6,18,1.1,0.38,0.73,0.05,0.17
04-5-204,45204,西兰花[绿菜花],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,83,90.3,33,138,4.1,0.6,4.3,1.6,—,0.7,1202,7210,—,0.09,0.13,0.9,51,0.91,0.31,0.09,0.51,67,72,17,18.8,17,1.0,0.78,0.70,0.03,0.24
04-5-205,45205,芥菜[雪里红，雪菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,94,91.5,24,100,2.0,0.4,4.7,1.6,—,1.4,52,310,—,0.03,0.11,0.5,31,0.74,0.63,0.11,…,230,47,281,30.5,24,3.2,0.70,0.70,0.08,0.42
04-5-206,45206,芥菜(大叶)[盖菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,71,94.6,14,59,1.8,0.4,2.0,1.2,—,1.2,283,1700,—,0.02,0.11,0.5,72,0.64,0.64,…,…,28,36,224,29.0,18,1.0,0.41,0.53,0.10,0.70
04-5-207,45207,芥菜(茎用)[青头菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,92,95.0,7,29,1.3,0.2,2.8,2.8,—,0.7,47,280,—,…,0.02,0.3,7,1.29,—,—,—,23,35,316,41.1,5,0.7,0.25,0.95,0.05,0.10
04-5-208,45208,芥菜(小叶)[小芥菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,88,92.6,24,100,2.5,0.4,3.6,1.0,—,0.9,242,1450,—,0.05,0.10,0.7,51,2.06,0.94,0.14,0.98,80,40,210,38.9,23,1.5,0.50,0.28,0.06,0.33
04-5-209,45209,芥蓝[甘蓝菜，盖蓝菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,78,93.2,19,79,2.8,0.4,2.6,1.6,—,1.0,575,3450,—,0.02,0.09,1.0,76,0.96,0.85,0.11,…,128,50,104,50.5,18,2.0,1.30,0.88,0.11,0.53
04-5-301,45301,菠菜[赤根菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,89,91.2,24,100,2.6,0.3,4.5,1.7,—,1.4,487,2920,—,0.04,0.11,0.6,32,1.74,1.46,0.28,…,66,47,311,85.2,58,2.9,0.85,0.97,0.10,0.66
04-5-303,45303,冬寒菜[冬苋菜，冬葵],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,58,89.6,30,126,3.9,0.4,4.9,2.2,—,1.2,1158,6950,—,0.15,0.05,0.6,20,—,—,—,—,82,56,280,14.0,30,2.4,1.37,2.41,0.13,2.50
04-5-304,45304,观达菜[根达菜，牛皮菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,83,95.1,14,59,1.7,0.3,2.1,1.0,—,0.8,63,380,—,0.01,0.10,0.4,23,—,—,—,—,70,41,222,260.0,20,1.0,1.35,0.64,0.04,0.50
04-5-306,45306,苦菜[节节花，拒马菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,100,85.3,35,146,2.8,0.6,10.0,5.4,—,1.3,90,540,—,0.09,0.11,0.6,19,2.93,1.99,…,0.94,66,41,180,8.7,37,9.4,0.86,0.50,0.17,1.53
04-5-310,45310,落葵[木耳菜，软浆菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,76,92.8,20,84,1.6,0.3,4.3,1.5,—,1.0,337,2020,—,0.06,0.06,0.6,34,1.66,1.39,0.27,…,166,42,140,47.2,62,3.2,0.32,2.60,0.07,0.43
04-5-311,45311,芹菜(白茎)[旱芹，药芹],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,66,94.2,14,59,0.8,0.1,3.9,1.4,—,1.0,10,60,—,0.01,0.08,0.4,12,2.21,1.27,0.41,0.53,48,50,154,73.8,10,0.8,0.46,0.47,0.09,0.17
04-5-312,45312,芹菜茎,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,67,93.1,20,84,1.2,0.2,4.5,1.2,—,1.0,57,340,—,0.02,0.06,0.4,8,1.32,0.47,0.34,0.51,80,38,206,159.0,18,1.2,0.24,0.57,0.09,0.16
04-5-313,45313,芹菜叶,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,100,89.4,31,130,2.6,0.6,5.9,2.2,—,1.5,488,2930,—,0.08,0.15,0.9,22,2.50,0.57,1.93,…,40,64,137,83.0,58,0.6,1.14,2.00,0.99,0.54
04-5-314,45314,生菜(牛俐)[油麦菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,81,95.7,15,63,1.4,0.4,2.1,0.6,—,0.4,60,360,—,Tr,0.10,0.2,20,—,—,—,—,70,31,100,80.0,29,1.2,0.43,1.55,0.08,0.15
04-5-315,45315,生菜(叶用莴苣),4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,94,95.8,13,54,1.3,0.3,2.0,0.7,—,0.6,298,1790,—,0.03,0.06,0.4,13,1.02,0.43,0.42,0.17,34,27,170,32.8,18,0.9,0.27,1.15,0.03,0.13
04-5-316,45316,甜菜叶,4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,100,92.2,19,80,1.8,0.1,4.0,1.3,0,2.0,610,—,—,0.10,0.22,0.4,30,—,—,—,—,117,40,547,201.0,72,3.3,0.38,—,0.19,—
04-5-317,45317,香菜[芫荽],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,81,90.5,31,130,1.8,0.4,6.2,1.2,—,1.1,193,1160,—,0.04,0.14,2.2,48,0.80,0.68,0.12,…,101,49,272,48.5,33,2.9,0.45,0.53,0.21,0.28
04-5-319,45319,苋菜(绿),4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,74,90.2,25,105,2.8,0.3,5.0,2.2,—,1.7,352,2110,—,0.03,0.12,0.8,47,0.36,0.15,0.14,0.07,187,59,207,32.4,119,5.4,0.80,0.52,0.13,0.78
04-5-320,45320,苋菜(紫)[红苋],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,,,73,88.8,31,130,2.8,0.4,5.9,1.8,—,2.1,248,1490,—,0.03,0.10,0.6,30,1.54,0.88,0.66,…,178,63,340,42.3,38,2.9,0.70,0.09,0.07,0.35
04-5-321,45321,茼蒿[蓬蒿菜，艾菜],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,82,93.0,21,88,1.9,0.3,3.9,1.2,—,0.9,252,1510,—,0.04,0.09,0.6,18,0.92,0.46,0.33,0.13,73,36,220,161.3,20,2.5,0.35,0.60,0.06,0.28
04-5-322,45322,茴香[小茴香],4,蔬菜类及其制品,5,嫩茎、叶、花菜类,A,,86,91.2,24,100,2.5,0.4,4.2,1.6,—,1.7,402,2410,—,0.06,0.09,0.8,26,0.94,0.31,…,0.63,154,23,149,186.3,46,1.2,0.73,0.77,0.04,0.31
