食物编码,分类编码,食物名称,食物类别,大类名称,子类编码,子类名称,是否常用,是否特色,可食部分(%),水分(g),能量(kcal),能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),总胡萝卜素(μg),视黄醇(μg),硫胺素(mg),核黄素(mg),烟酸(mg),维生素C(mg),维生素E(mg),α-生育酚(mg),β+γ生育酚(mg),δ-生育酚(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(μg),铜(mg),锰(mg)
01-2-101,12101,粳米(标一),1,谷类及制品                  ,2,稻米,,,100,13.7,343,1435,7.7,0.6,77.4,0.6,—,0.6,—,—,—,0.16,0.08,1.3,—,1.01,0.39,0.62,…,11,121,97,2.4,34,1.1,1.45,2.50,0.19,1.36
01-2-202,12202,籼米(标准)[机米],1,谷类及制品                  ,2,稻米,A,F,100,12.6,347,1452,7.9,0.6,78.3,0.8,—,0.6,—,—,—,0.09,0.04,1.4,—,0.54,0.43,0.11,…,12,112,109,1.7,28,1.6,1.47,1.99,0.29,1.27
01-2-212,12212,黑米,1,谷类及制品                  ,2,稻米,A,F,100,14.3,333,1393,9.4,2.5,72.2,3.9,—,1.6,—,—,—,0.33,0.13,7.9,—,0.22,…,0.22,…,12,356,256,7.1,147,1.6,3.80,3.20,0.15,1.72
01-2-213,12213,香大米,1,谷类及制品                  ,2,稻米,,,100,12.9,346,1448,12.7,0.9,72.4,0.6,—,1.1,—,—,—,—,0.08,2.6,—,0.70,0.39,0.11,0.20,8,106,49,21.5,12,5.1,0.69,4.60,0.52,1.75
01-2-301,12301,糯米[江米](均值),1,谷类及制品                  ,2,稻米,,,100,12.6,348,1456,7.3,1.0,78.3,0.8,—,0.8,—,—,—,0.11,0.04,2.3,—,1.29,0.87,0.42,…,26,113,137,1.5,49,1.4,1.54,2.71,0.25,1.54
01-2-401,12401,米饭(蒸)(均值),1,谷类及制品                  ,2,稻米,,,100,70.9,116,485,2.6,0.3,25.9,0.3,—,0.3,—,—,—,0.02,0.03,1.9,—,—,—,—,—,7,62,30,2.5,15,1.3,0.92,0.40,0.06,0.58
01-2-402,12402,粳米饭(蒸),1,谷类及制品                  ,2,稻米,,,100,70.6,117,490,2.6,0.3,26.2,0.2,—,0.3,—,—,—,…,0.03,2.0,—,—,—,—,—,7,62,39,3.3,20,2.2,1.36,0.40,0.08,0.85
01-2-403,12403,籼米饭(蒸),1,谷类及制品                  ,2,稻米,,,100,71.1,114,477,2.5,0.2,26.0,0.4,—,0.2,—,—,—,0.02,0.03,1.7,—,—,—,—,—,6,—,21,1.7,10,0.3,0.47,…,0.04,0.31
01-2-404,12404,粳米粥,1,谷类及制品                  ,2,稻米,,,100,88.6,46,192,1.1,0.3,9.9,0.1,—,0.1,—,—,—,…,0.03,0.2,—,—,—,—,—,7,20,13,2.8,7,0.1,0.20,0.20,0.03,0.20
01-2-405,12405,籼米粉[排米粉],1,谷类及制品                  ,2,稻米,,,100,10.7,355,1485,7.4,0.1,81.5,0.3,—,0.3,—,—,—,0.02,0.02,0.6,—,—,—,—,—,6,62,14,16.3,16,3.2,0.80,7.48,0.30,0.60
01-2-406,12406,籼米粉(干，细),1,谷类及制品                  ,2,稻米,A,,100,12.3,346,1448,8.0,0.1,78.3,0.1,—,1.3,—,—,—,0.03,—,0.2,—,—,—,—,—,—,53,43,5.9,23,1.4,2.27,3.44,0.09,0.63
01-2-407,12407,高蛋白豆米粉(籼米),1,谷类及制品                  ,2,稻米,,,100,2.0,414,1732,16.5,7.1,71.0,—,—,3.4,—,—,—,1.10,0.68,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
01-3-101,13101,玉米(鲜),1,谷类及制品                  ,3,玉米,,,46,71.3,106,444,4.0,1.2,22.8,2.9,—,0.7,—,—,—,0.16,0.11,1.8,16,0.46,…,0.14,0.32,—,117,238,1.1,32,1.1,0.90,1.63,0.09,0.22
01-3-104,13104,玉米面(白),1,谷类及制品                  ,3,玉米,A,F,100,13.4,340,1423,8.0,4.5,73.1,6.2,—,1.0,—,—,—,0.34,0.06,3.0,—,6.89,0.94,5.76,0.19,12,187,276,0.5,111,1.3,1.22,1.58,0.23,0.40
01-3-105,13105,玉米面(黄),1,谷类及制品                  ,3,玉米,A,,100,12.1,341,1427,8.1,3.3,75.2,5.6,—,1.3,7,40,—,0.26,0.09,2.3,—,3.80,0.77,2.81,0.22,22,196,249,2.3,84,3.2,1.42,2.49,0.35,0.47
01-3-106,13106,玉米面(强化豆粉),1,谷类及制品                  ,3,玉米,,,100,13.6,339,1418,11.8,4.9,68.3,6.4,—,1.4,—,—,—,0.21,0.04,3.1,—,7.13,0.85,5.50,0.78,18,234,370,1.6,106,3.4,1.28,9.15,0.38,0.74
01-3-107,13107,玉米糁(黄),1,谷类及制品                  ,3,玉米,A,,100,12.8,347,1452,7.9,3.0,75.6,3.6,—,0.7,—,—,—,0.10,0.08,1.2,—,0.57,…,0.39,0.18,49,143,177,1.7,151,2.4,1.16,4.90,0.16,0.22
01-5-101,15101,小米,1,谷类及制品                  ,5,小米，黄米,A,,100,11.6,358,1498,9.0,3.1,75.1,1.6,—,1.2,17,100,—,0.33,0.10,1.5,—,3.63,…,…,3.63,41,229,284,4.3,107,5.1,1.87,4.74,0.54,0.89
01-5-102,15102,小米面,1,谷类及制品                  ,5,小米，黄米,,F,100,11.8,356,1490,7.2,2.1,77.7,0.7,—,1.2,—,—,—,0.13,0.08,2.5,—,—,—,—,—,40,159,129,6.2,57,6.1,1.18,2.82,0.32,0.55
01-5-103,15103,小米粥,1,谷类及制品                  ,5,小米，黄米,,,100,89.3,46,192,1.4,0.7,8.4,…,—,0.2,—,—,—,0.02,0.07,0.9,—,0.26,…,0.26,…,10,32,19,4.1,22,1.0,0.41,0.30,0.07,0.16
01-5-202,15202,黄米,1,谷类及制品                  ,5,小米，黄米,A,,100,11.1,342,1431,9.7,1.5,76.9,4.4,—,0.8,—,—,—,0.09,0.13,1.3,—,4.61,…,3.24,1.37,—,—,—,3.3,—,—,2.07,—,0.90,0.23
02-1-101,21101,马铃薯[土豆，洋芋],2,薯类、淀粉及制品,1,薯类,A,,94,79.8,76,318,2.0,0.2,17.2,0.7,—,0.8,5,30,—,0.08,0.04,1.1,27,0.34,0.08,0.10,0.16,8,40,342,2.7,23,0.8,0.37,0.78,0.12,0.14
02-1-201,21201,甘薯(白心)[红皮山芋],2,薯类、淀粉及制品,1,薯类,A,,86,72.6,104,435,1.4,0.2,25.2,1.0,—,0.6,37,220,—,0.07,0.04,0.6,24,0.43,0.43,…,…,24,46,174,58.2,17,0.8,0.22,0.63,0.16,0.21
02-1-202,21202,甘薯(红心)[山芋，红薯],2,薯类、淀粉及制品,1,薯类,A,F,90,73.4,99,414,1.1,0.2,24.7,1.6,—,0.6,125,750,—,0.04,0.04,0.6,26,0.28,0.28,…,…,23,39,130,28.5,12,0.5,0.15,0.48,0.18,0.11
02-2-103,22103,玉米淀粉,2,薯类、淀粉及制品,2,淀粉类,,,100,13.5,345,1443,1.2,0.1,85.0,0.1,—,0.2,—,—,—,0.03,0.04,1.1,—,—,—,—,—,18,25,8,6.3,6,4.0,0.09,0.70,0.07,0.05
02-2-104,22104,团粉[芡粉],2,薯类、淀粉及制品,2,淀粉类,,,100,12.6,346,1448,1.5,…,85.8,0.8,—,0.1,—,—,—,0.01,…,0.2,—,—,—,—,—,34,25,16,13.3,14,3.6,0.18,0.37,0.06,0.08
